nom,le verbe de nom,masculin ou féminin,Expliqué en arabe
digestion,digere,féminin,عملية الهضم
alimentation,alimenter,féminin,التغذية
eduction,eduquer,féminin,التعليم
aliment,aliment,masculin,المادة الغذائية
transformation,transformer,féminin,التحول
tube,tuber,masculin,أنبوب
organe,organiser,masculin,عضو
malnutrition,malnourrir,féminin,سوء التغذية
equilibree,equilibrer,féminin,متوازن
appareil,appareiller,masculin,جهاز
glucides,glucider,masculin,الكربوهيدرات
lipides,lipidiser,masculin,الدهون
protides,protider,masculin,البروتينات
sel,salir,masculin,الملح
mineral,mineraliser,masculin,المعدني
