,nom,le verbe de nom,masculin ou féminin,Expliqué en arabe
0,digestion,digere,féminin,عملية الهضم
1,alimentation,alimenter,féminin,التغذية
2,eduction,eduquer,féminin,التعليم
3,aliment,aliment,masculin,المادة الغذائية
4,transformation,transformer,féminin,التحول
5,tube,tuber,masculin,أنبوب
6,organe,organiser,masculin,عضو
7,malnutrition,malnourrir,féminin,سوء التغذية
8,equilibree,equilibrer,féminin,متوازن
9,appareil,appareiller,masculin,جهاز
10,glucides,glucider,masculin,الكربوهيدرات
11,lipides,lipidiser,masculin,الدهون
12,protides,protider,masculin,البروتينات
13,sel,salir,masculin,الملح
14,mineral,mineraliser,masculin,المعدني
15,complet,compléter,masculin,كامل
16,incomplet,incompléter,masculin,غير كامل
17,molecule,moléculer,féminin,جزيء
18,mise,mettre,féminin,وضع
19,evidence,évidencer,féminin,دليل
20,filtart,filtrer,masculin,ترشيح
21,vapeur,vaporiser,féminin,بخار
22,precipite,précipiter,masculin,رواسب
23,indicateur,indiquer,masculin,مؤشر
24,anus,anusser,masculin,شرج
